Gene	proba_m1	proba_m2	bayes_factor	scale1	scale2	raw_mean1	raw_mean2	non_zeros_proportion1	non_zeros_proportion2	raw_normalized_mean1	raw_normalized_mean2	comparison	group1	group2
AC007405.1	0.3192	0.6808000000000001	-0.7574506950437921	1.2205845e-05	2.9291397e-05	0.008858829	0.020308034	0.008096780339112201	0.014380411951552874	0.03773694	0.12026658	2 vs Rest	2	Rest
LINC01094	0.3188	0.6812	-0.7592919851848218	2.0686418e-06	5.505672e-06	0.00076205	0.004635959	0.0007620499142693848	0.002942511098740231	0.0031029445	0.01996572	2 vs Rest	2	Rest
AC097528.1	0.3188	0.6812	-0.7592919851848218	6.857328e-06	1.775007e-05	0.0050485777	0.010792263	0.004858068203467322	0.006104891866225781	0.02562251	0.0530184	2 vs Rest	2	Rest
ITGB5-AS1	0.3188	0.6812	-0.7592919851848218	4.213393e-06	2.8690985e-05	0.0014288437	0.008013495	0.0013335873499714234	0.006118926100401012	0.007208586	0.04746553	2 vs Rest	2	Rest
ANKS1B	0.3184	0.6816	-0.7611345048092046	0.0013693457	0.00282636	3.1033742	6.6205544	0.5826824156982373	0.6883511178260248	12.365447	28.126291	2 vs Rest	2	Rest
MSRB3	0.3182	0.6818	-0.7620562270403988	5.010779e-05	0.000114819275	0.02924364	0.13099872	0.021337397599542837	0.08954309211604597	0.118309	0.86209977	2 vs Rest	2	Rest
LAT2	0.318	0.6819999999999999	-0.7629782582795014	4.017705e-05	7.335757e-05	0.036102057	0.061028108	0.02962469041722253	0.0488578472420317	0.17087543	0.480464	2 vs Rest	2	Rest
AL121936.1	0.3176	0.6824	-0.7648232499725048	5.6193003e-06	1.8595665e-05	0.0013335875	0.0027132803	0.0011430748714040772	0.0015858684618011635	0.006494905	0.01573499	2 vs Rest	2	Rest
AC046195.2	0.3174	0.6826	-0.7657462115241803	4.319055e-06	1.4609323e-05	0.0020003812	0.0098753525	0.002000381024957135	0.0071574594293681605	0.0089670485	0.04932807	2 vs Rest	2	Rest
BMP5	0.3172	0.6828000000000001	-0.7666694842793191	3.3049143e-06	1.1914889e-05	0.0014288437	0.01167645	0.0014288435892550965	0.0035693735585672483	0.0075689987	0.05678633	2 vs Rest	2	Rest
PSRC1	0.3172	0.6828000000000001	-0.7666694842793191	5.544734e-05	0.00013664718	0.11525965	0.3065069	0.06896551724137925	0.13293694418587917	0.5451607	1.5417976	2 vs Rest	2	Rest
NOTO	0.317	0.683	-0.7675930687890571	8.239744e-06	2.270601e-05	0.0028576872	0.0015577996	0.0005715374357020386	0.0008888348310979895	0.009512798	0.011814168	2 vs Rest	2	Rest
ARMC3	0.3168	0.6832	-0.7685169656054355	1.9428595e-05	4.871535e-05	0.010668703	0.032107387	0.009144598971232603	0.023418458760403323	0.043958444	0.21509321	2 vs Rest	2	Rest
AC034111.2	0.3168	0.6832	-0.7685169656054355	1.8096896e-05	4.6103596e-05	0.007048958	0.030824903	0.005905886835587724	0.01922690082006667	0.032579657	0.12602933	2 vs Rest	2	Rest
AC091938.1	0.3162	0.6838	-0.7712905354284354	1.8757732e-05	0.000111348774	0.014574213	0.10495333	0.012288054867593809	0.08119272278177535	0.07203255	0.9751284	2 vs Rest	2	Rest
AC008105.3	0.3162	0.6838	-0.7712905354284354	1.5371634e-05	3.1150877e-05	0.0081920335	0.014979087	0.006858449228424453	0.011274168120768827	0.036130693	0.06848306	2 vs Rest	2	Rest
AL117190.2	0.3158	0.6841999999999999	-0.7731411536719611	4.857457e-05	0.000110799636	0.0857303	0.15055299	0.06248809297008914	0.10746013107977509	0.32885736	0.8501647	2 vs Rest	2	Rest
PHGDH	0.3156	0.6844	-0.7740669359719802	0.00025761055	0.0007594026	0.5156215	1.1182525	0.30634406553629506	0.44805228220094806	2.174589	7.3311887	2 vs Rest	2	Rest
CCNA2	0.3154	0.6846	-0.7749930344684467	6.7858484e-05	0.00029876383	0.12297548	0.58285356	0.05791579348447293	0.18893821662299798	0.58227146	3.0709987	2 vs Rest	2	Rest
AL021918.5	0.3148	0.6852	-0.7777732327347955	0.00011015049	0.00020734913	0.06686974	0.07835183	0.02981520289578988	0.030033261134997106	0.2792375	0.39171353	2 vs Rest	2	Rest
FHAD1	0.3146	0.6854	-0.7787006016199567	1.721247e-05	4.7736936e-05	0.017622422	0.025080249	0.01562202324252236	0.020578865378947576	0.07991325	0.17437488	2 vs Rest	2	Rest
CYSLTR1	0.3146	0.6854	-0.7787006016199567	1.9978304e-06	4.393622e-06	0.0006667937	0.0050289123	0.0006667936749857117	0.003471133919340626	0.0035070973	0.023679584	2 vs Rest	2	Rest
PAPPA2	0.3146	0.6854	-0.7787006016199567	9.010356e-05	0.00016486029	0.11459279	0.25181863	0.07896742236616545	0.14820151289044176	0.45586422	1.3965331	2 vs Rest	2	Rest
COL21A1	0.3146	0.6854	-0.7787006016199567	7.7208415e-06	1.6308237e-05	0.005810627	0.015966227	0.005334349399885687	0.008256807773094564	0.028064327	0.06719839	2 vs Rest	2	Rest
